sentence,context,subject,verb,verb_pos,subject_number,verb_number,verb_form,verb_person,n_intervening,n_diff_intervening,distance,split_origin
El presidente del órgano regulador de las Telecomunicaciones se mostró partidario de completar esta liberalización de las telecomunicaciones con otras medidas que incentiven la competencia como puede ser abrir el acceso a la información de los clientes de Telefónica a otros operadores .,El presidente del órgano regulador de las Telecomunicaciones se mostró,presidente,mostró,9,Sing,Sing,Fin,3,1,0,8,train
"El representante de los empresarios madrileños aseguró que "" el siglo XXI será el siglo de la ciencia y la tecnología "" , y ofreció el apoyo "" activo "" de la CEIM en la consecución de los retos fijados por el Gobierno en esta materia .",El representante de los empresarios madrileños aseguró,representante,aseguró,6,Sing,Sing,Fin,3,1,1,5,train
"El embajador estadounidense en España , Edward Romero , aseguró que la inversión en investigación básica contribuye a la prosperidad económica y destacó la colaboración entre España y Estados Unidos en este campo , materializada en diversos acuerdos .","El embajador estadounidense en España , Edward Romero , aseguró",embajador,aseguró,9,Sing,Sing,Fin,3,0,0,8,train
"El embajador estadounidense en España , Edward Romero , aseguró que la inversión en investigación básica contribuye a la prosperidad económica y destacó la colaboración entre España y Estados Unidos en este campo , materializada en diversos acuerdos .","El embajador estadounidense en España , Edward Romero , aseguró que la inversión en investigación básica contribuye",inversión,contribuye,16,Sing,Sing,Fin,3,1,0,4,train
"El libro presentado hoy recoge de forma resumida un informe del Comité de Desarrollo Económico de EEUU , en el que se destaca la importancia de la investigación básica universitaria americana y propone mejorar la enseñanza para asegurar la provisión futura de científicos sobresalientes .",El libro presentado hoy recoge,libro,recoge,4,Sing,Sing,Fin,3,0,0,3,train
"El libro presentado hoy recoge de forma resumida un informe del Comité de Desarrollo Económico de EEUU , en el que se destaca la importancia de la investigación básica universitaria americana y propone mejorar la enseñanza para asegurar la provisión futura de científicos sobresalientes .","El libro presentado hoy recoge de forma resumida un informe del Comité de Desarrollo Económico de EEUU , en el que se destaca",importancia,destaca,22,Sing,Sing,Fin,3,0,0,2,train
Asimismo defiende la financiación pública de la investigación básica y pone de manifiesto que las empresas se centran más en la I + D con objetivos de mercado .,Asimismo defiende la financiación pública de la investigación básica y pone de manifiesto que las empresas se centran,empresas,centran,17,Plur,Plur,Fin,3,0,0,2,train
"El portavoz del PP , Rafael Hernando , dijo hoy a EFE que los agentes sociales deben acudir con mentalidad "" abierta "" y sin planteamientos "" preconcebidos "" a la cita de esta tarde con el presidente del Gobierno , José María Aznar .","El portavoz del PP , Rafael Hernando , dijo",portavoz,dijo,8,Sing,Sing,Fin,3,0,0,7,train
"Hernando destacó que la reforma laboral de 1997 , fruto de los acuerdos alcanzados con los agentes sociales , tuvo efectos "" extraordinarios "" sobre el empleo y sirvió para frenar el crecimiento "" desbocado "" de la inestabilidad laboral que se produjo a partir de 1986 .","Hernando destacó que la reforma laboral de 1997 , fruto de los acuerdos alcanzados con los agentes sociales , tuvo",reforma,tuvo,19,Sing,Sing,Fin,3,3,2,15,train
"Además de acabar con los contratos "" basura "" , el portavoz del PP señaló que dicha reforma introdujo el sistema de ayudas a la contratación indefinida , así como la remodelación del contrato estable a tiempo parcial que han mejorado las relaciones laborales .","Además de acabar con los contratos "" basura "" , el portavoz del PP señaló",portavoz,señaló,14,Sing,Sing,Fin,3,0,0,3,train
"Además de acabar con los contratos "" basura "" , el portavoz del PP señaló que dicha reforma introdujo el sistema de ayudas a la contratación indefinida , así como la remodelación del contrato estable a tiempo parcial que han mejorado las relaciones laborales .","Además de acabar con los contratos "" basura "" , el portavoz del PP señaló que dicha reforma introdujo",reforma,introdujo,18,Sing,Sing,Fin,3,0,0,1,train
"El director del banco , Radovan Vrava , señaló que el motivo principal es la reestructuración del banco y no sólo la reducción de los costes .","El director del banco , Radovan Vrava , señaló",director,señaló,8,Sing,Sing,Fin,3,1,0,7,train
"Otro de los objetivos es evitar que se repitan los errores del pasado , que obligaron al Gobierno a comprar créditos dudosos por un valor de 60.000 millones de coronas ( unos 1.500 millones de dólares ) .",Otro de los objetivos es evitar que se repitan,errores,repitan,8,Plur,Plur,Fin,3,0,0,2,train
"Esto permitirá al banco sanear su portafolio , que es condición básica para continuar en su privatización .",Esto permitirá,Esto,permitirá,1,Sing,Sing,Fin,3,0,0,1,train
"Ese escándalo provocó amplios cambios de directivos a todos los niveles , desde su director general y presidente Jan Kollert y otros miembros de la dirección hasta personal medio .",Ese escándalo provocó,escándalo,provocó,2,Sing,Sing,Fin,3,0,0,1,train
La empresa canadiense Alcan Aluminium anunció el jueves que ha llegado a un acuerdo de principio para su fusión con la suiza Algroup que establece el cambio de 17.1 acciones de Alcan por cada una de la empresa helvética .,La empresa canadiense Alcan Aluminium anunció,empresa,anunció,5,Sing,Sing,Fin,3,0,0,4,train
El acuerdo también supone que los accionistas recibirán un pago de capital de 90 francos suizos ( 53 dólares ) y un dividendo especial de 135 francos suizos ( unos 80 dólares ) por cada acción de Algroup .,El acuerdo también supone,acuerdo,supone,3,Sing,Sing,Fin,3,0,0,2,train
El acuerdo también supone que los accionistas recibirán un pago de capital de 90 francos suizos ( 53 dólares ) y un dividendo especial de 135 francos suizos ( unos 80 dólares ) por cada acción de Algroup .,El acuerdo también supone que los accionistas recibirán,accionistas,recibirán,7,Plur,Plur,Fin,3,0,0,1,train
"Por su parte , el director ejecutivo de Algroup , Sergio Marchionne , dijo que "" la nueva compañía estará en mejor posición para servir las necesidades de sus clientes "" .","Por su parte , el director ejecutivo de Algroup , Sergio Marchionne , dijo",director,dijo,13,Sing,Sing,Fin,3,0,0,8,train
